,Filter Configuration,No. of Attrib,Threshold,Spam Recall,Spam Precision,Weighted Accuracy,Weighted Error,baseline W.Acc,baseline W.Err,TCR
153,stop,500,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
154,stop,500,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
155,stop,500,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
156,stop,550,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
157,stop,550,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
158,stop,550,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
159,stop,600,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
160,stop,600,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
161,stop,600,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
162,stop,650,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
163,stop,650,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
164,stop,650,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
165,stop,700,0.5,0.0,0.0,78.43206810925861,21.5679318907414,78.43206810925861,21.5679318907414,1.0
166,stop,700,0.9,0.0,0.0,86.74746065652383,13.252539343476174,86.74746065652383,13.252539343476174,1.0
167,stop,700,0.999,0.0,0.0,87.90188909613978,12.098110903860212,87.90188909613978,12.098110903860212,1.0
